config,stage1,learner,setting,subsampled,val_r2,test_r2_refit,is_best_on_val,runtime_s
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.125908322158885,,False,0.84
pharma|daily|N02BE|A_lag1,linear,LightGBM,"leaves=15,n=100",False,-0.0402334454824004,0.0095162492923609,True,0.23
pharma|daily|N02BE|A_lag1,linear,LightGBM,"leaves=15,n=400",False,-0.1143260887246471,,False,0.89
pharma|daily|N02BE|A_lag1,linear,LightGBM,"leaves=63,n=100",False,-0.0558414853428379,,False,0.56
pharma|daily|N02BE|A_lag1,linear,LightGBM,"leaves=63,n=400",False,-0.1649631081383378,,False,1.99
pharma|daily|N02BE|A_lag1,linear,RandomForest,"depth=6,leaf=5",False,-0.0316406570206941,,False,0.66
pharma|daily|N02BE|A_lag1,linear,RandomForest,"depth=6,leaf=50",False,-0.0153862824821375,0.0001965426542905,True,0.7
pharma|daily|N02BE|A_lag1,linear,RandomForest,"depth=None,leaf=5",False,-0.141283596387328,,False,0.72
pharma|daily|N02BE|A_lag1,linear,RandomForest,"depth=None,leaf=50",False,-0.0166682284519534,,False,0.61
pharma|daily|N02BE|A_lag1,linear,kNN,k=10,False,-0.1313582030234126,,False,0.01
pharma|daily|N02BE|A_lag1,linear,kNN,k=50,False,-0.0228969490845656,,False,0.01
pharma|daily|N02BE|A_lag1,linear,kNN,k=200,False,-0.0111151044767414,0.0114896107770698,True,0.02
pharma|daily|N02BE|A_lag1,linear,Ridge,alpha=0.1,False,-0.0027800987865158,,False,0.01
pharma|daily|N02BE|A_lag1,linear,Ridge,alpha=10,False,-0.0027551792714999,,False,0.0
pharma|daily|N02BE|A_lag1,linear,Ridge,alpha=1000,False,-0.0014739861796888,0.002283112022091,True,0.0
pharma|daily|N02BE|A_lag1,linear,MLP,"hidden=(32,)",False,-0.0021659459632841,0.0034901608765899,True,0.36
pharma|daily|N02BE|A_lag1,linear,MLP,"hidden=(64, 32)",False,-0.0073051643475303,,False,3.14
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.018501795636417,-0.0296611068898553,True,0.17
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0367972560582552,,False,0.81
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.0397453131444847,,False,1.86
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0318441064440149,,False,0.2
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0319707723785338,,False,0.57
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.0370404945010474,,False,1.22
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0292215231530366,,False,0.28
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0341603238966854,,False,0.36
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.0368738838561264,,False,0.64
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0281562583358319,,False,0.21
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0265945307878152,,False,0.63
pharma|daily|N05B|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.039357212804622,,False,1.05
pharma|daily|N05B|A_lag1,linear,LightGBM,"leaves=15,n=100",False,-0.0347403818416238,-0.0300172744796032,True,0.26
pharma|daily|N05B|A_lag1,linear,LightGBM,"leaves=15,n=400",False,-0.0512294061509701,,False,1.31
pharma|daily|N05B|A_lag1,linear,LightGBM,"leaves=63,n=100",False,-0.0354272547615297,,False,2.44
pharma|daily|N05B|A_lag1,linear,LightGBM,"leaves=63,n=400",False,-0.0522652744164351,,False,3.09
pharma|daily|N05B|A_lag1,linear,RandomForest,"depth=6,leaf=5",False,-0.0291540306077005,,False,0.78
pharma|daily|N05B|A_lag1,linear,RandomForest,"depth=6,leaf=50",False,-0.0111908171290202,-0.0143325862045262,True,0.67
pharma|daily|N05B|A_lag1,linear,RandomForest,"depth=None,leaf=5",False,-0.0410494199316027,,False,0.67
pharma|daily|N05B|A_lag1,linear,RandomForest,"depth=None,leaf=50",False,-0.0113278525408999,,False,0.6
pharma|daily|N05B|A_lag1,linear,kNN,k=10,False,-0.1572073523392374,,False,0.01
pharma|daily|N05B|A_lag1,linear,kNN,k=50,False,-0.045010640406629,,False,0.01
pharma|daily|N05B|A_lag1,linear,kNN,k=200,False,0.0019202395650512,-0.0157339812670787,True,0.02
pharma|daily|N05B|A_lag1,linear,Ridge,alpha=0.1,False,-0.0050044320530815,,False,0.01
pharma|daily|N05B|A_lag1,linear,Ridge,alpha=10,False,-0.0049834166213558,,False,0.0
pharma|daily|N05B|A_lag1,linear,Ridge,alpha=1000,False,-0.0037732169537638,-0.0086731214339155,True,0.0
pharma|daily|N05B|A_lag1,linear,MLP,"hidden=(32,)",False,-0.0079230746962302,-0.011690238235233,True,0.07
pharma|daily|N05B|A_lag1,linear,MLP,"hidden=(64, 32)",False,-0.0082472621038496,,False,0.11
pharma|daily|N05C|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.021378154784662,,False,0.21
